Verse number;English;Basque;gloss;marker;allomorph;type;remarks;semantics
41001009;And it came to pass in those days , that Jesus <came from Nazareth of Galilee> , and was baptized of John in Jordan .;Egun haietako batean, Jesus <etorri zen Galileako Nazaretetik>, eta Joanek bataiatu egin zuen Jordanen.;come.PFV was Galilee-REL Nazareth-ABL;–tik;;postposition;;settlement
41001010;And straightway <coming up out of the water>, he saw the heavens opened , and the Spirit like a dove descending upon him :;Jesusek, <uretatik ateratzerakoan>, zerua urratzen ikusi zuen eta Espiritua, uso-tankeran, beregana jaisten.;water-INDF-ABL just before going out;–tik;;postposition;;substance
41001025;And Jesus rebuked him , saying , Hold thy peace , and <come out of him> .; Jesusek gogor eraso zion: –Isil hadi eta <irten horrengandik>!  ; go out this.GEN-ANIM-ABL ;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik. The ABL marker is added to the animacy marker GA(N), and this can be added either to the GEN or to the determiner.;person
41001026;And when the unclean spirit had torn him , and cried with a loud voice , he <came out of him>.;Espiritu gaiztoak astinaldi gogorra eman zion eta, garrasi handia eginez, <atera egin zen harengandik>.;go out.PFV do.PFV (FOC) was s/he.GEN-ANIM-ABL;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik. The ABL marker is added to the animacy marker GA(N), and this can be added either to the GEN or to the determiner.;person
41001029;And forthwith , when they were <come out of the synagogue> , they entered into the house of Simon and Andrew , with James and John .;Jesus <sinagogatik atera> eta Simonen eta Andresen etxera joan zen zuzenean, Santiago eta Joanekin. ;synagogue-ABL go out;–tik;;postposition;;building
41003007;But Jesus withdrew himself with his disciples to the sea : and a great <multitude from Galilee followed him>, and from Judaea;Jesus aintzira-bazterrera joan zen bere ikasleekin. <Galileatik etorritako jendetza handiak jarraitu zion>.;Galilee-ABL come.PFV-RES-REL multitude big-SG.ERG follow-PFV AUX;–tik;;postposition;;settlement
41003007a;But Jesus withdrew himself with his disciples to the sea : and a great multitude from Galilee followed him, and <from Judaea>;Jesus aintzira-bazterrera joan zen bere ikasleekin. Galileatik etorritako jendetza handiak jarraitu zion.;;;;postposition;Basque translation differs from King Jame's version. 'From Judaea' is given in the next verse.;settlement
41003008;"And <from Jerusalem> , and from Idumaea , and from beyond Jordan ; and they about Tyre and Sidon , a great multitude , when they had heard what great things he did , came unto him .";Eta berak egiten zituenak entzunik, <Judea, Jerusalem, Idumea, Jordanez bestalde eta Tiro eta Sidon aldetik> ere jende-talde handia bildu zitzaion.;Jerusalem […]-ABL;–tik;;postposition;ABL marker is added to the postposition alde 'side, about'. Although the postposition alde is the head just for the NP Tiro eta Sidon 'Tyre and Sidon', the ABL suffix added to it governs the whole Judea, Jerusalem, Idumea, Jordanez bestalde eta Tiro eta Sidon alde [= Judaea, Jerusalem, Idumea, beyond Jordan and about Tyre and Sidon]. The syntaxis as follows: [[Judea], [Jerusalem], [Idumea], [Jordanez bestalde] eta [[Tiro eta Sidon] alde] TIK;settlement
41003008a;"And from Jerusalem, and <from Idumaea> , and from beyond Jordan ; and they about Tyre and Sidon , a great multitude , when they had heard what great things he did , came unto him .";Eta berak egiten zituenak entzunik, <Judea, Jerusalem, Idumea, Jordanez bestalde eta Tiro eta Sidon aldetik> ere jende-talde handia bildu zitzaion.;Idumea […]-ABL;–tik;;postposition;SEE comment on 41003008;settlement
41003008b;"And from Jerusalem , and from Idumaea , and <from beyond Jordan> ; and they about Tyre and Sidon , a great multitude , when they had heard what great things he did , came unto him .";Eta berak egiten zituenak entzunik, <Judea, Jerusalem, Idumea, Jordanez bestalde eta Tiro eta Sidon aldetik> ere jende-talde handia bildu zitzaion.;Jordan-INS beyond […]-ABL;–tik;;postposition;SEE comment on 41003008;area
